kinase,gene,uniprot,provenance,n_structures,n_dfg_in,n_dfg_out,accessible_states,n_type1_inhibitors,n_type2_inhibitors,type1_inhibitors,type2_inhibitors,type2_opportunity,med_dfg_achelix_distance_A,med_hinge_angle_deg,n_descriptors
TYK2,TYK2,P29597,experimental,45,45,0,DFG-in,26,0,"0X2,0X5,0X6,0XH,0XP,2YK,5U3,5U4,9T6,9ZS,G4J,G5D,IZA,MI1,N9G",,0.416,,,0
DAPK2,DAPK2,Q9UIK4,experimental,43,43,0,DFG-in,1,0,IQU,,0.411,,,0
FRAP,MTOR,P42345,experimental,43,43,0,DFG-in,4,0,"17G,P2X,X6K,XZ9",,0.411,,,0
JAK2-b,JAK2-b,O60674,experimental,42,42,0,DFG-in,21,0,"2HB,35R,3YT,4SP,584,5BS,7DZ,8MY,AQG,DQX,E4V,EKT,IK1,J9D,M3A",,0.408,,,0
DYRK2,DYRK2,Q92630,experimental,40,40,0,DFG-in,23,0,"3RA,7A7,7AA,CC9,CQO,CUR,FZ5,H5R,H7C,H7F,H7L,H7O,H7R,H7U,H7X",,0.403,,,0
CDK9,CDK9,P50750,experimental,39,39,0,DFG-in,17,0,"ADN,CPB,F18,LCI,NJ6,Q6E,RFZ,SLQ,T3C,T3E,T6Q,T7Z,T9N,TO7,TOJ",,0.401,,,0
PI4KB,PI4KB,Q9UBF8,experimental,36,36,0,DFG-in,14,0,"093,3K7,5S8,5W3,5W6,5W7,5W8,5W9,A1ADE,BQR,EMW,KHR,KI7,KIH",,0.392,,,0
PIK3C3,PIK3C3,Q8NEB9,experimental,35,34,0,DFG-in,8,0,"1TT,5QS,7IH,7IK,7IQ,H2E,OZ8,RBQ",,0.389,,,0
CDK4,CDK4,P11802,experimental,17,16,1,DFG-in|DFG-out,1,0,6ZV,,0.388,,,0
ATM,ATM,Q13315,experimental,15,14,1,DFG-in|DFG-out,2,0,"UF8,UGK",,0.381,,,0
TBK1,TBK1,Q9UHD2,experimental,32,32,0,DFG-in,13,0,"1FV,1H4,ANW,BX7,E0M,E0P,E0S,F8M,F8P,F8S,KHQ,KHT,KJB",,0.38,,,0
BUBR1,BUB1B,O60566,experimental,1,0,1,DFG-out,0,0,,,0.376,,,0
BARK1,GRK2,P25098,experimental,31,31,0,DFG-in,17,0,"29X,8DJ,8DS,8PR,8PV,AFM,AFV,BA1,EJS,KZQ,Q1Y,QRW,SIX,W4D,W4G",,0.376,,,0
HSER,GUCY2C,P25092,experimental,1,0,1,DFG-out,0,0,,,0.376,,,0
SgK223,PRAG1,Q86YV5,experimental,1,0,1,DFG-out,0,0,,,0.376,,,0
CDC2,CDK1,P06493,experimental,28,28,0,DFG-in,6,0,"1QK,4SP,F9Z,FB8,FC8,LZ9",,0.366,,,0
PLK1,PLK1,P53350,experimental,28,28,0,DFG-in,13,0,"071,1J3,1J4,3TA,626,664,79C,79D,8X7,937,939,IBI,R78",,0.366,,,0
Wee1,WEE1,P30291,experimental,28,28,0,DFG-in,22,0,"05J,330,34W,396,61E,770,809,824,839,8X7,96M,98D,98G,98M,99J",,0.366,,,0
NIK,MAP3K14,Q99558,experimental,27,27,0,DFG-in,5,0,"13V,PZ4,Q55,Q58,T28",,0.362,,,0
DAPK3,DAPK3,O43293,experimental,26,26,0,DFG-in,5,0,"4RB,7CP,DUK,IZA,U7E",,0.358,,,0
PHKg1,PHKG1,Q16816,experimental,2,1,1,DFG-in|DFG-out,0,0,,,0.358,,,0
PIK3R4,PIK3R4,Q99570,experimental,2,1,1,DFG-in|DFG-out,0,0,,,0.358,,,0
ULK2,ULK2,Q8IYT8,experimental,26,26,0,DFG-in,4,0,"1FV,EDJ,FE7,HVH",,0.358,,,0
CaMKK2,CAMKK2,Q96RR4,experimental,25,25,0,DFG-in,17,0,"34U,609,6T2,8R4,8R7,91L,91O,91X,92C,9JS,BI9,DXV,E5J,F6J,O7I",,0.354,,,0
CASK,CASK,O14936,experimental,25,25,0,DFG-in,5,0,"3AM,V5W,V62,V6B,V6E",,0.354,,,0
RIOK2,RIOK2,Q9BVS4,experimental,25,25,0,DFG-in,2,0,"5ZH,G8H",,0.354,,,0
CaMK1a,CAMK1,Q14012,experimental,6,5,1,DFG-in|DFG-out,0,0,,,0.352,,,0
EphB3,EPHB3,P54753,experimental,6,0,6,DFG-out,0,2,,"6P6,6P8",0.352,,,0
LKB1,STK11,Q15831,experimental,3,2,1,DFG-in|DFG-out,0,0,,,0.351,,,0
ALK1,ACVRL1,P37023,experimental,24,24,0,DFG-in,1,0,LDN,,0.349,,,0
IRAK3,IRAK3,Q9Y616,experimental,4,3,1,DFG-in|DFG-out,0,0,,,0.349,,,0
TTBK1,TTBK1,Q5TCY1,experimental,24,24,0,DFG-in,11,0,"2KC,9IO,9IV,CGI,DTQ,F8E,IQR,IQY,IRD,VP7,VSY",,0.349,,,0
PKCi,PRKCI,P41743,experimental,23,23,0,DFG-in,3,0,"AFU,BI1,C58",,0.345,,,0
MST2,STK3,Q13188,experimental,23,21,0,DFG-in,1,0,5BS,,0.345,,,0
MST4,STK26,Q9P289,experimental,9,2,7,DFG-in|DFG-out,1,2,59T,"DKI,GVD",0.343,,,0
PKG1,PRKG1,Q13976,experimental,22,22,0,DFG-in,1,0,EE4,,0.34,,,0
Erk5,MAPK7,Q13164,experimental,21,21,0,DFG-in,10,0,"4QX,4QZ,4R0,4WE,4WG,86E,9N8,G92,G9E,R4L",,0.336,,,0
MYT1,PKMYT1,Q99640,experimental,21,21,0,DFG-in,12,0,"1N1,8X7,93J,DB8,H8H,P48,QG5,QGI,QGR,QGY,W9X,XZN",,0.336,,,0
Wnk3,WNK3,Q9BYP7,experimental,21,21,0,DFG-in,2,0,"KS1,WGK",,0.336,,,0
DRAK2,STK17B,O94768,experimental,20,20,0,DFG-in,6,0,"38O,EBD,OBW,OD2,QM2,QUE",,0.331,,,0
ULK1,ULK1,O75385,experimental,20,20,0,DFG-in,6,0,"34W,3RF,3RJ,51W,JVD,WXH",,0.331,,,0
CDK5,CDK5,Q00535,experimental,19,19,0,DFG-in,9,0,"3O0,61U,63I,64V,65L,ALH,IXM,RRC,Z3R",,0.325,,,0
DCLK1,DCLK1,O15075,experimental,19,19,0,DFG-in,6,0,"AN2,GUI,RXT,X7Y,X8J,XBD",,0.325,,,0
EphB1,EPHB1,P54762,experimental,19,19,0,DFG-in,1,0,7O3,,0.325,,,0
FGFR1,FGFR1,P11362,experimental,217,211,6,DFG-in|DFG-out,45,1,"07J,0S7,0S8,0S9,2K5,2K7,2M2,38O,3RH,3ZC,42I,466,47I,4UT,4Y0",0LI,0.325,11.07,52.52,32
DLK,MAP3K12,Q12852,experimental,19,19,0,DFG-in,9,0,"50D,50E,50F,9FS,9FV,SIQ,W38,W3C,W3I",,0.325,,,0
SRPK1,SRPK1,Q96SB4,experimental,19,19,0,DFG-in,6,0,"3UL,80H,EMH,IXQ,RXZ,W4A",,0.325,,,0
INSR,INSR,P06213,experimental,46,24,15,DFG-in|DFG-out,6,2,"112,5JA,60O,GS2,IR1,S91","351,GS3",0.321,,,0
IKKa,CHUK,O15111,experimental,18,12,0,DFG-in,1,0,5TL,,0.32,,,0
CaMK1d,CAMK1D,Q8IU85,experimental,17,13,0,DFG-in,5,0,"M8Z,M92,MMW,QI6,QNR",,0.314,,,0
MAP2K6,MAP2K6,P52564,experimental,13,2,11,DFG-in|DFG-out,2,3,"ANK,AP2","STU,X3K,ZLE",0.314,,,0
p110d,PIK3CD,O00329,experimental,17,17,0,DFG-in,14,0,"5H5,799,7KA,85S,9EM,EO5,I3H,M5D,M5V,P5J,P5V,VBS,Y5Y,YA7",,0.314,,,0
MAP2K1,MAP2K1,Q02750,experimental,120,114,6,DFG-in|DFG-out,23,1,"22T,3BM,3EW,3EY,3V0,4W5,5BM,5EZ,5U5,80C,92P,CHU,EUI,FZC,GIK",E62,0.312,,,0
CK1g3,CSNK1G3,Q9Y6M4,experimental,16,16,0,DFG-in,10,0,"0VM,0VN,0YO,15G,23D,BRK,BRQ,DKI,F92,P01",,0.308,,,0
PDK1,PDPK1,O15530,experimental,128,122,5,DFG-in|DFG-out,42,1,"253,39Z,3Q0,3Q1,3Q2,3Q3,3Q4,3Q5,3Q6,3RC,3RW,3S1,464,517,537",MP7,0.305,,,0
CLK2,CLK2,P49760,experimental,15,15,0,DFG-in,5,0,"3NG,8FY,EAE,EAZ,NR9",,0.301,,,0
PKCt,PRKCQ,Q04759,experimental,15,15,0,DFG-in,5,0,"3L0,5VS,LG8,PZW,STU",,0.301,,,0
p110a,PIK3CA,P42336,experimental,136,132,4,DFG-in|DFG-out,45,1,"1LT,2IX,2Q7,3K6,4EL,4Q2,5H2,5H5,5XV,6CY,799,7TZ,7U5,84R,84U",L2V,0.299,,,0
FLT1,FLT1,P17948,experimental,2,0,2,DFG-out,0,1,,8ST,0.298,,,0
PI4KA,PI4KA,P42356,experimental,2,0,2,DFG-out,0,1,,E4S,0.298,,,0
ROR1,ROR1,Q01973,experimental,2,0,2,DFG-out,0,1,,0LI,0.298,,,0
MSK1-b,RPS6KA5-b,O75582,experimental,14,14,0,DFG-in,5,0,"1LE,O10,O1K,O1R,SUU",,0.294,,,0
TTBK2,TTBK2,Q6IQ55,experimental,14,14,0,DFG-in,4,0,"9IK,9IS,9IV,DTQ",,0.294,,,0
PCTAIRE1,CDK16,Q00536,experimental,4,0,4,DFG-out,0,2,,"919,FEF",0.291,,,0
ZAK,MAP3K20,Q9NYL2,experimental,13,13,0,DFG-in,6,0,"032,7Z0,C9O,C9R,IGS,IGV",,0.287,,,0
MAP3K5,MAP3K5,Q99683,experimental,77,72,4,DFG-in|DFG-out,21,1,"8GS,8GV,8GY,8V4,8V7,9E1,9E4,BH9,IE4,IE6,IE8,IEO,IM6,KK7,KK8",STU,0.286,,,0
ROCK1,ROCK1,Q13464,experimental,75,71,4,DFG-in|DFG-out,24,1,"07Q,07R,0HD,3J7,3NC,3ND,4KH,4KK,4TW,65R,6U1,6U2,86K,8UV,B4J",86G,0.285,,,0
ACK,TNK2,Q07912,experimental,32,28,4,DFG-in|DFG-out,9,1,"1G0,DBQ,LWX,R7P,R9B,T74,T77,T95,WTP",9KO,0.285,,,0
ACTR2,ACVR2A,P27037,experimental,12,12,0,DFG-in,3,0,"6OJ,GVD,TAK",,0.278,,,0
CDC7,CDC7,O00311,experimental,12,10,0,DFG-in,2,0,"0SX,0SY",,0.278,,,0
FGFR3,FGFR3,P22607,experimental,12,12,0,DFG-in,4,0,"EVR,H6X,WGF,WIQ",,0.278,,,0
OSR1,OXSR1,O95747,experimental,12,12,0,DFG-in,0,0,,,0.278,,,0
AMPKa1,PRKAA1,Q13131,experimental,12,8,0,DFG-in,1,0,STU,,0.278,,,0
RSK3-b,RPS6KA1-b,Q15418,experimental,12,12,0,DFG-in,0,0,,,0.278,,,0
YANK1,STK32A,Q8WU08,experimental,12,12,0,DFG-in,1,0,STU,,0.278,,,0
TGFbR2,TGFBR2,P37173,experimental,12,12,0,DFG-in,4,0,"5L4,HJF,J2V,STU",,0.278,,,0
LIMK2,LIMK2,P53671,experimental,10,2,8,DFG-in|DFG-out,1,3,LH0,"35H,9D8,T3B",0.273,,,0
MNK2,MKNK2,Q9HBH9,experimental,14,11,3,DFG-in|DFG-out,10,1,"ET8,F4A,F4G,F4J,F67,FYV,FZJ,N45,STU,X8K",BV9,0.273,,,0
AAK1,AAK1,Q2M2I8,experimental,11,11,0,DFG-in,5,0,"KSA,LKB,XIN,YFV,ZRR",,0.27,,,0
ErbB4,ERBB4,Q15303,experimental,11,11,0,DFG-in,2,0,"FMM,GW7",,0.27,,,0
IKKb,IKBKB,O14920,experimental,11,10,0,DFG-in,1,0,KSA,,0.27,,,0
MARK2,MARK2,Q7KZI7,experimental,11,11,0,DFG-in,4,0,"24R,6Z2,6Z5,SJ0",,0.27,,,0
SRPK2,SRPK2,P78362,experimental,11,11,0,DFG-in,3,0,"IXQ,PVB,W4A",,0.27,,,0
Wnk1,WNK1,Q9H4A3,experimental,11,11,0,DFG-in,1,0,7AV,,0.27,,,0
FAK,PTK2,Q05397,experimental,82,64,14,DFG-in|DFG-out,16,2,"10N,1BQ,4GU,4KA,7PY,H82,K8A,P1E,P4N,P7N,P9K,PKE,PVT,PXK,Q2H","K9Y,KAO",0.269,,,0
SLK,SLK,Q9H2G2,experimental,14,8,6,DFG-in|DFG-out,3,2,"DKI,GUQ,GVD","6UI,AV9",0.266,,,0
AKT2,AKT2,P31751,experimental,27,19,8,DFG-in|DFG-out,9,2,"G93,G95,G96,G98,GVP,I5S,L20,X37,X39","K06,XOO",0.264,,,0
CaMK2a,CAMK2A,Q9UQM7,experimental,36,33,3,DFG-in|DFG-out,3,1,"FEF,HC4,UZD",DB8,0.261,,,0
JNK3,MAPK10,P53779,experimental,102,101,1,DFG-in|DFG-out,51,1,"0EI,0F0,0G3,1RQ,255,33A,34I,3EL,3H8,3HJ,3HN,3HQ,3NL,3WH,446",SYY,0.261,,,0
CaMK2d,CAMK2D,Q13557,experimental,10,10,0,DFG-in,4,0,"9EJ,C2V,GVD,K88",,0.26,,,0
MRCKb,CDC42BPB,Q9Y5S2,experimental,10,10,0,DFG-in,5,0,"3FV,AQ5,AQE,M77,NM7",,0.26,,,0
PKR,EIF2AK2,P19525,experimental,10,10,0,DFG-in,1,0,UH3,,0.26,,,0
GCN2,EIF2AK4,Q9P2K8,experimental,10,5,5,DFG-in|DFG-out,3,2,"38O,KA4,KA7","G41,KAV",0.26,,,0
FES,FES,P07332,experimental,10,10,0,DFG-in,3,0,"9FC,GUI,STU",,0.26,,,0
COT,MAP3K8,P41279,experimental,10,10,0,DFG-in,3,0,"499,49B,6DA",,0.26,,,0
Erk1,MAPK3,P27361,experimental,10,10,0,DFG-in,3,0,"38Z,5ID,6H3",,0.26,,,0
MAPKAPK3,MAPKAPK3,Q16644,experimental,10,10,0,DFG-in,4,0,"05B,F10,I85,P4O",,0.26,,,0
SMG1,SMG1,Q96Q15,experimental,10,10,0,DFG-in,1,0,88C,,0.26,,,0
VRK2,VRK2,Q86Y07,experimental,10,10,0,DFG-in,3,0,"7DZ,IKD,KJD",,0.26,,,0
CDK2,CDK2,P24941,experimental,938,932,4,DFG-in|DFG-out,357,2,"02Z,03K,03Z,04Z,06Z,07Z,08Z,09K,09Z,0BX,0BY,0S0,106,107,10K","26D,LQ5",0.252,10.4,59.4,34
FLT3,FLT3,P36888,experimental,9,0,9,DFG-out,0,4,,"A9R,C6F,F6M,P30",0.25,,,0
KSR1,KSR1,Q8IVT5,experimental,9,6,0,DFG-in,0,0,,,0.25,,,0
MARK3,MARK3,P27448,experimental,9,9,0,DFG-in,1,0,V5E,,0.25,,,0
PI4K2A,PI4K2A,Q9BTU6,experimental,9,9,0,DFG-in,1,0,M59,,0.25,,,0
PLK2,PLK2,Q9NYY3,experimental,9,9,0,DFG-in,5,0,"11G,1C7,1C8,1D1,R78",,0.25,,,0
RIOK1,RIOK1,Q9BRS2,experimental,9,6,0,DFG-in,0,0,,,0.25,,,0
MST1,STK4,Q13043,experimental,9,9,0,DFG-in,4,0,"5BS,OJ5,XOZ,XQL",,0.25,,,0
HCK,HCK,P08631,experimental,49,47,2,DFG-in|DFG-out,21,1,"1BM,B43,KS1,L1G,L2G,L3G,OOO,OOQ,OOS,OOU,OOV,PP1,QUE,SK8,VRZ",VSA,0.247,,,0
Erk3,MAPK6,Q16659,experimental,20,14,6,DFG-in|DFG-out,3,2,"OWQ,OXW,OYB","OWQ,OXW",0.242,,,0
BIKE,BMP2K,Q9NSY1,experimental,8,8,0,DFG-in,5,0,"3JW,6BU,IDK,IDV,YDJ",,0.239,,,0
CK1g2,CSNK1G2,P78368,experimental,8,8,0,DFG-in,1,0,5ID,,0.239,,,0
EphA7,EPHA7,Q15375,experimental,8,6,2,DFG-in|DFG-out,0,1,,IHZ,0.239,,,0
JAK1-b,JAK1-b,P23458,experimental,8,8,0,DFG-in,0,0,,,0.239,,,0
KSR2,KSR2,Q6VAB6,experimental,8,8,0,DFG-in,1,0,6U7,,0.239,,,0
TRKC,NTRK3,Q16288,experimental,8,0,8,DFG-out,0,4,,"0F4,4EJ,DZ6,DZC",0.239,,,0
PHKg2,PHKG2,P15735,experimental,8,8,0,DFG-in,1,0,B49,,0.239,,,0
PKN1,PKN1,Q16512,experimental,8,8,0,DFG-in,2,0,"2V9,MI1",,0.239,,,0
PKCa,PRKCA,P17252,experimental,8,8,0,DFG-in,4,0,"3KZ,LW4,V5U,W39",,0.239,,,0
RSK2-b,RPS6KA3-b,P51812,experimental,8,8,0,DFG-in,5,0,"0JG,0JH,1LB,1LC,1LE",,0.239,,,0
TTN,TTN,Q8WZ42,experimental,8,8,0,DFG-in,0,0,,,0.239,,,0
PDGFRa,PDGFRA,P16234,experimental,15,4,11,DFG-in|DFG-out,3,4,"6T2,9JI,9OO","6T2,748,B49,STI",0.237,,,0
PRP4,PRPF4B,Q13523,experimental,29,24,2,DFG-in|DFG-out,3,1,"1EH,OCJ,OND",919,0.236,,,0
ROCK2,ROCK2,O75116,experimental,54,53,1,DFG-in|DFG-out,9,1,"1WU,3SG,5YS,81G,J0P,O1S,O1V,VFA,VFS",Z8O,0.234,,,0
p70S6K,RPS6KB1,P23443,experimental,26,24,2,DFG-in|DFG-out,11,1,"1RJ,1SK,3T3,5FI,72B,F76,FS7,FS9,FZ8,FZ9,STU",STU,0.234,,,0
JNK2,MAPK9,P45984,experimental,11,9,2,DFG-in|DFG-out,2,1,"35F,Y56",B96,0.233,,,0
TRKB,NTRK2,Q16620,experimental,4,1,3,DFG-in|DFG-out,1,2,LTI,"MUJ,T6E",0.233,,,0
BRK,PTK6,Q13882,experimental,24,22,2,DFG-in|DFG-out,3,1,"1N1,58V,FLJ",FKY,0.233,,,0
CK1e,CSNK1E,P49674,experimental,14,12,2,DFG-in|DFG-out,0,1,,16W,0.231,,,0
ErbB2,ERBB2,P04626,experimental,14,12,2,DFG-in|DFG-out,4,1,"03P,03Q,70I,VOY",W9N,0.231,,,0
AMPKa2,PRKAA2,P54646,experimental,26,19,6,DFG-in|DFG-out,2,2,"4O7,STU","EDJ,TAK",0.229,,,0
