structure_ID,fold_kinase,y_true,distance,hinge_angle,y_pred,prob_dfg_out
3131,BRAF,1,12.677,53.659,1,0.7235
983,SRC,0,12.289,65.826,1,0.7903
985,SRC,0,12.379,64.029,1,0.7855
977,SRC,0,12.289,65.825,1,0.7903
972,SRC,0,9.524,58.496,0,0.1188
975,SRC,0,9.254,61.535,0,0.1114
969,SRC,0,9.6,64.223,0,0.1765
970,SRC,0,12.347,61.846,1,0.7537
971,SRC,0,9.491,63.132,0,0.1512
982,SRC,0,9.6,64.223,0,0.1765
978,SRC,0,9.368,57.373,0,0.0962
979,SRC,0,12.582,62.344,1,0.8011
980,SRC,0,9.184,61.912,0,0.1069
989,SRC,0,9.293,59.976,0,0.1051
986,SRC,0,9.618,60.809,0,0.1478
987,SRC,0,10.224,56.064,0,0.1901
988,SRC,0,9.524,58.496,0,0.1188
990,SRC,0,9.677,58.17,0,0.1337
992,SRC,0,12.347,61.846,1,0.7537
10920,SRC,0,7.766,60.677,0,0.0251
11486,SRC,0,9.505,62.05,0,0.1438
11487,SRC,0,9.505,62.05,0,0.1438
11488,SRC,0,9.45,61.212,0,0.1305
11471,SRC,0,9.45,61.212,0,0.1305
11489,SRC,0,9.593,61.398,0,0.1496
11472,SRC,0,9.505,62.05,0,0.1438
11473,SRC,0,9.594,61.398,0,0.1497
11490,SRC,0,9.737,62.355,0,0.1787
11474,SRC,0,9.561,61.733,0,0.1483
11475,SRC,0,9.541,61.982,0,0.1478
11491,SRC,0,9.455,62.514,0,0.1413
973,SRC,1,13.721,57.765,1,0.9049
976,SRC,1,9.35,54.596,0,0.0798
14240,SRC,1,11.861,55.856,1,0.5539
397,KIT,0,8.849,64.714,0,0.0892
402,KIT,0,8.828,64.073,0,0.085
13787,KIT,0,9.136,63.985,0,0.11
13789,KIT,0,9.353,40.092,0,0.0431
15112,KIT,0,10.282,58.678,0,0.217
15113,KIT,0,10.831,56.891,0,0.2978
15114,KIT,0,10.285,58.678,0,0.2175
15115,KIT,0,10.724,57.088,0,0.2792
15116,KIT,0,10.46,58.144,0,0.2418
15118,KIT,0,10.78,57.46,0,0.2938
15120,KIT,0,10.235,59.26,0,0.2145
15121,KIT,0,10.235,59.26,0,0.2145
15122,KIT,0,10.659,57.896,0,0.2752
15123,KIT,0,10.66,57.896,0,0.2753
15124,KIT,0,10.723,57.088,0,0.279
15125,KIT,0,10.779,57.46,0,0.2936
15126,KIT,0,10.831,56.891,0,0.2978
15127,KIT,0,10.457,58.144,0,0.2412
396,KIT,1,12.033,61.562,1,0.6247
398,KIT,1,12.96,53.449,1,0.7248
400,KIT,1,11.985,56.361,1,0.5498
401,KIT,1,12.96,53.449,1,0.7248
393,KIT,1,11.857,60.474,1,0.5717
395,KIT,1,11.817,55.347,0,0.4976
404,KIT,1,11.857,60.474,1,0.5717
403,KIT,1,12.641,58.275,1,0.7138
405,KIT,1,12.033,61.562,1,0.6247
10354,KIT,1,11.977,62.029,1,0.6179
10355,KIT,1,12.406,58.761,1,0.6721
10356,KIT,1,12.042,60.978,1,0.6197
10357,KIT,1,12.508,58.572,1,0.6908
10358,KIT,1,12.042,60.978,1,0.6197
10359,KIT,1,12.224,59.558,1,0.6427
10360,KIT,1,12.473,58.016,1,0.6776
10361,KIT,1,12.264,59.119,1,0.6462
10353,KIT,1,12.406,58.761,1,0.6721
10362,KIT,1,12.406,59.547,1,0.6808
10363,KIT,1,12.473,58.016,1,0.6776
10364,KIT,1,11.977,62.029,1,0.6179
11469,KIT,1,11.518,57.293,0,0.4522
11470,KIT,1,11.52,57.284,0,0.4526
11628,KIT,1,11.636,58.364,0,0.4934
11629,KIT,1,11.636,58.364,0,0.4934
11824,KIT,1,12.203,59.096,1,0.6327
11825,KIT,1,12.311,56.966,1,0.6311
11820,KIT,1,12.398,58.667,1,0.6694
11826,KIT,1,12.203,59.096,1,0.6327
11821,KIT,1,12.398,58.667,1,0.6694
5029,MAPK14,0,10.274,49.072,0,0.1574
5013,MAPK14,0,9.752,56.753,0,0.1339
4991,MAPK14,0,9.601,57.297,0,0.12
5039,MAPK14,0,10.61,54.166,0,0.2444
4980,MAPK14,0,16.224,14.839,1,0.9397
5023,MAPK14,0,10.78,53.08,0,0.2676
4984,MAPK14,0,9.494,54.741,0,0.0991
5024,MAPK14,0,9.473,52.954,0,0.0908
5016,MAPK14,0,9.786,56.722,0,0.1377
5008,MAPK14,0,10.616,47.286,0,0.1954
5009,MAPK14,0,9.604,59.002,0,0.1282
4999,MAPK14,0,9.354,52.794,0,0.081
5017,MAPK14,0,9.358,61.068,0,0.1118
5000,MAPK14,0,9.558,58.178,0,0.1194
5036,MAPK14,0,9.13,51.831,0,0.0635
5011,MAPK14,0,9.45,57.893,0,0.1075
5050,MAPK14,0,10.712,45.837,0,0.2007
5045,MAPK14,0,9.15,59.168,0,0.0864
5034,MAPK14,0,16.224,14.839,1,0.9397
5048,MAPK14,0,10.347,59.299,0,0.2368
5038,MAPK14,0,11.768,35.371,0,0.3136
5049,MAPK14,0,9.409,51.583,0,0.0813
5051,MAPK14,0,9.175,53.669,0,0.0712
5060,MAPK14,0,9.637,59.592,0,0.1347
5012,MAPK14,1,25.685,17.059,1,1.0
4990,MAPK14,1,20.216,29.728,1,0.9993
5002,MAPK14,1,12.763,59.197,1,0.7707
4977,MAPK14,1,14.454,45.53,1,0.9091
4992,MAPK14,1,14.802,55.871,1,0.9563
5004,MAPK14,1,13.065,50.921,1,0.7612
4983,MAPK14,1,18.032,51.55,1,0.9977
5005,MAPK14,1,14.802,55.871,1,0.9563
5031,MAPK14,1,12.004,55.866,1,0.5795
4986,MAPK14,1,13.317,52.153,1,0.8116
4987,MAPK14,1,14.454,45.618,1,0.9094
5006,MAPK14,1,12.276,55.052,1,0.6353
5056,MAPK14,1,18.032,51.55,1,0.9977
5032,MAPK14,1,13.651,54.476,1,0.8687
5027,MAPK14,1,13.904,44.645,1,0.8483
5057,MAPK14,1,13.152,51.709,1,0.7822
5020,MAPK14,1,21.655,31.891,1,0.9999
5033,MAPK14,1,14.284,47.958,1,0.9036
5028,MAPK14,1,13.484,51.175,1,0.8298
5037,MAPK14,1,12.057,57.241,1,0.6063
5042,MAPK14,1,18.372,27.353,1,0.9955
2970,MET,0,10.951,52.935,0,0.264
2971,MET,0,13.594,55.328,1,0.9176
2972,MET,0,13.497,54.212,1,0.9017
2973,MET,0,11.645,56.65,1,0.5199
2974,MET,0,13.384,55.919,1,0.8992
2975,MET,0,9.616,61.057,0,0.1046
2976,MET,0,13.257,54.56,1,0.8745
2952,MET,0,12.708,63.246,1,0.8619
2953,MET,0,12.095,55.106,1,0.6309
2955,MET,0,14.018,53.767,1,0.9444
2956,MET,0,12.095,55.106,1,0.6309
2996,MET,0,12.645,55.859,1,0.7803
2958,MET,0,11.712,57.193,1,0.5494
2997,MET,0,12.708,63.246,1,0.8619
2960,MET,0,13.844,53.166,1,0.9294
3013,MET,0,13.558,55.91,1,0.9171
2963,MET,0,13.592,55.798,1,0.9197
2980,MET,0,11.748,57.116,1,0.5592
2981,MET,0,13.432,56.425,1,0.9073
2982,MET,0,13.482,55.809,1,0.9091
2984,MET,0,13.566,53.943,1,0.9075
2965,MET,0,12.645,55.859,1,0.7803
2966,MET,0,11.339,38.728,0,0.1857
2967,MET,0,12.555,60.542,1,0.8121
2968,MET,0,13.351,55.286,1,0.8914
2969,MET,0,9.774,61.029,0,0.1243
2986,MET,0,13.482,55.809,1,0.9091
2987,MET,0,13.543,55.42,1,0.9131
2999,MET,0,11.677,57.529,1,0.5442
3000,MET,0,11.339,38.728,0,0.1857
3023,MET,1,12.212,53.744,1,0.6438
3012,MET,1,12.212,53.744,1,0.6438
2977,MET,1,12.084,57.865,1,0.6691
2959,MET,1,12.807,55.593,1,0.8102
2978,MET,1,11.564,56.343,0,0.4898
2979,MET,1,12.812,55.429,1,0.8095
2964,MET,1,11.07,59.941,0,0.3972
3020,MET,1,12.069,51.659,1,0.5689
2998,MET,1,11.07,59.941,0,0.3972
2985,MET,1,10.629,62.2,0,0.3068
3015,MET,1,12.393,54.725,1,0.707
3025,MET,1,11.116,59.606,0,0.4057
3033,MET,1,11.116,59.606,0,0.4057
6766,MET,1,12.28,48.939,1,0.5891
6767,MET,1,12.28,48.939,1,0.5891
6768,MET,1,11.549,53.952,0,0.446
6769,MET,1,12.068,52.993,1,0.59
7034,MET,1,11.559,55.622,0,0.4764
7035,MET,1,11.609,55.66,0,0.4925
7036,MET,1,11.609,55.66,0,0.4925
7037,MET,1,11.559,55.622,0,0.4764
8009,MET,1,11.254,59.371,0,0.4437
8010,MET,1,11.254,59.371,0,0.4437
11532,MET,1,11.08,59.813,0,0.3982
11533,MET,1,15.297,34.358,1,0.9586
11534,MET,1,11.08,59.813,0,0.3982
11531,MET,1,11.231,59.96,0,0.4462
14327,MET,1,11.201,59.661,0,0.4322
14328,MET,1,11.828,57.757,1,0.5937
14329,MET,1,11.201,59.661,0,0.4322
5310,KDR,0,10.938,27.169,0,0.0944
5325,KDR,0,13.662,31.118,1,0.6452
5341,KDR,0,10.685,26.525,0,0.073
5350,KDR,0,13.662,31.118,1,0.6452
6788,KDR,0,10.766,28.226,0,0.085
6791,KDR,0,10.767,28.226,0,0.0851
5317,KDR,1,12.357,61.669,1,0.7036
5312,KDR,1,12.538,57.649,1,0.6981
5308,KDR,1,17.55,20.378,1,0.9792
5322,KDR,1,11.93,57.175,1,0.5549
5311,KDR,1,12.368,58.045,1,0.6665
5313,KDR,1,14.486,28.421,1,0.7802
5320,KDR,1,12.038,60.524,1,0.6213
5319,KDR,1,18.021,33.42,1,0.9931
5318,KDR,1,11.869,57.586,1,0.5453
5321,KDR,1,12.377,57.823,1,0.6659
5324,KDR,1,12.3,55.932,1,0.627
5326,KDR,1,12.706,57.657,1,0.7316
5328,KDR,1,12.538,57.527,1,0.6968
5331,KDR,1,12.208,62.589,1,0.6825
5329,KDR,1,12.296,57.826,1,0.6482
5330,KDR,1,17.785,31.149,1,0.9903
5333,KDR,1,12.458,59.581,1,0.7022
5332,KDR,1,12.46,52.191,1,0.6194
5334,KDR,1,11.915,49.28,0,0.4521
5336,KDR,1,12.04,60.524,1,0.6218
5337,KDR,1,12.484,52.958,1,0.6339
5342,KDR,1,12.296,60.478,1,0.678
5343,KDR,1,12.434,58.121,1,0.6815
5344,KDR,1,14.091,28.868,1,0.7116
3879,CDK2,0,8.05,60.728,0,0.0312
3880,CDK2,0,10.434,57.336,0,0.2348
3881,CDK2,0,12.137,60.912,1,0.6855
3927,CDK2,0,10.586,54.687,0,0.2351
3882,CDK2,0,7.962,59.395,0,0.0265
3883,CDK2,0,8.27,58.64,0,0.0346
3884,CDK2,0,11.833,53.17,1,0.5034
3885,CDK2,0,10.504,56.065,0,0.2344
3886,CDK2,0,10.397,56.355,0,0.2181
3887,CDK2,0,7.986,60.262,0,0.0286
3888,CDK2,0,11.836,58.384,1,0.5797
3889,CDK2,0,7.916,61.206,0,0.0281
3890,CDK2,0,12.01,59.738,1,0.641
3891,CDK2,0,11.648,53.951,0,0.4673
3892,CDK2,0,7.532,59.406,0,0.0172
3893,CDK2,0,10.55,55.946,0,0.2417
3894,CDK2,0,7.915,59.357,0,0.0253
3895,CDK2,0,10.665,56.487,0,0.2703
3897,CDK2,0,10.533,56.586,0,0.2454
3898,CDK2,0,11.659,52.863,0,0.4543
3899,CDK2,0,10.573,55.354,0,0.2397
3900,CDK2,0,7.733,59.59,0,0.0213
3948,CDK2,0,8.12,59.684,0,0.0316
3928,CDK2,0,11.488,54.642,0,0.4366
3929,CDK2,0,8.487,59.688,0,0.0454
3930,CDK2,0,8.038,60.17,0,0.0299
3902,CDK2,0,7.934,63.703,0,0.0329
3903,CDK2,0,7.558,59.64,0,0.0179
3904,CDK2,0,10.15,62.042,0,0.2318
3905,CDK2,0,7.973,59.949,0,0.0277
3901,CDK2,1,13.03,60.231,1,0.8399
3977,CDK2,1,13.03,60.231,1,0.8399
11202,CDK2,1,9.358,55.874,0,0.0853
8223,CDK2,1,8.033,58.661,0,0.0273
2279,LCK,0,9.416,63.76,0,0.1471
2295,LCK,0,9.416,63.76,0,0.1471
2296,LCK,0,10.012,57.733,0,0.1794
2281,LCK,0,9.588,61.296,0,0.1506
2297,LCK,0,9.47,65.518,0,0.1671
2259,LCK,0,10.17,55.693,0,0.185
2260,LCK,0,9.908,56.165,0,0.1533
2261,LCK,0,10.027,58.827,0,0.1908
2262,LCK,0,10.073,56.87,0,0.1809
2283,LCK,0,10.151,58.68,0,0.2086
2264,LCK,0,10.143,56.683,0,0.1895
2284,LCK,0,9.882,57.919,0,0.163
2265,LCK,0,9.955,58.166,0,0.1749
2266,LCK,0,9.98,56.954,0,0.1686
2267,LCK,0,10.023,57.688,0,0.1805
2268,LCK,0,9.933,56.041,0,0.1555
2270,LCK,0,9.918,56.255,0,0.1552
2271,LCK,0,9.739,58.21,0,0.1471
2299,LCK,0,11.359,66.238,1,0.5637
2272,LCK,0,9.971,55.191,0,0.1541
2273,LCK,0,10.015,58.867,0,0.1894
2274,LCK,0,9.926,56.218,0,0.1559
2287,LCK,0,10.012,56.407,0,0.1687
2300,LCK,0,9.663,58.766,0,0.1419
2275,LCK,0,10.225,58.799,0,0.2218
2276,LCK,0,9.47,65.412,0,0.1662
2277,LCK,0,10.044,58.691,0,0.1922
2278,LCK,0,9.898,56.226,0,0.1525
2291,LCK,0,10.01,57.187,0,0.1746
2292,LCK,0,9.868,56.807,0,0.1529
2294,LCK,1,12.309,62.587,1,0.7247
2280,LCK,1,15.137,53.709,1,0.9607
2282,LCK,1,12.431,55.511,1,0.6655
2286,LCK,1,12.566,55.735,1,0.6965
2288,LCK,1,12.088,58.22,1,0.6246
2290,LCK,1,12.311,60.176,1,0.6973
2293,LCK,1,12.144,57.217,1,0.6241
11698,LCK,1,10.313,59.889,0,0.248
11699,LCK,1,10.313,59.889,0,0.248
2551,MAPK1,0,8.23,63.038,0,0.0455
2583,MAPK1,0,11.824,22.498,0,0.1487
2572,MAPK1,0,8.235,62.945,0,0.0455
2552,MAPK1,0,7.792,62.311,0,0.0288
2553,MAPK1,0,7.622,60.299,0,0.0219
2554,MAPK1,0,6.918,62.534,0,0.0125
2556,MAPK1,0,7.457,64.572,0,0.0236
2558,MAPK1,0,10.346,41.263,0,0.1033
2559,MAPK1,0,7.623,60.299,0,0.0219
2560,MAPK1,0,7.791,63.05,0,0.03
2561,MAPK1,0,7.791,63.05,0,0.03
2563,MAPK1,0,7.886,61.886,0,0.0308
2564,MAPK1,0,8.064,62.936,0,0.0387
2565,MAPK1,0,10.304,41.77,0,0.102
2566,MAPK1,0,7.511,64.393,0,0.0246
2567,MAPK1,0,7.457,64.572,0,0.0236
2573,MAPK1,0,7.775,64.302,0,0.0316
2568,MAPK1,0,7.922,61.724,0,0.0316
2570,MAPK1,0,7.598,60.73,0,0.0219
2571,MAPK1,0,7.561,60.691,0,0.0211
2574,MAPK1,0,7.768,62.66,0,0.0287
2575,MAPK1,0,7.378,63.567,0,0.0207
2576,MAPK1,0,7.296,61.344,0,0.0169
2578,MAPK1,0,6.934,62.584,0,0.0127
2579,MAPK1,0,7.699,63.796,0,0.0285
2580,MAPK1,0,7.724,59.824,0,0.0236
2584,MAPK1,0,7.894,62.806,0,0.0326
2585,MAPK1,0,7.511,64.383,0,0.0246
2581,MAPK1,0,7.59,63.267,0,0.025
2594,MAPK1,0,7.509,61.208,0,0.0206
2538,AKT1,0,9.14,60.942,0,0.1014
2539,AKT1,0,9.216,60.456,0,0.1056
2540,AKT1,0,8.91,64.135,0,0.0978
2541,AKT1,0,9.183,60.087,0,0.1007
2543,AKT1,0,8.939,59.946,0,0.0806
2544,AKT1,0,8.773,63.442,0,0.0836
2546,AKT1,0,8.883,65.436,0,0.1022
2547,AKT1,0,9.11,60.921,0,0.0986
2548,AKT1,0,9.144,59.097,0,0.0924
2531,AKT1,0,9.14,60.942,0,0.1014
2532,AKT1,0,9.224,61.074,0,0.1098
2533,AKT1,0,9.043,62.474,0,0.1008
2534,AKT1,0,9.238,60.348,0,0.1071
2535,AKT1,0,8.7,63.595,0,0.079
2536,AKT1,0,8.939,60.108,0,0.0813
2537,AKT1,0,9.224,61.074,0,0.1098
6762,AKT1,0,8.963,65.481,0,0.1098
6763,AKT1,0,8.991,61.781,0,0.0929
6764,AKT1,0,8.963,65.481,0,0.1098
6765,AKT1,0,8.991,61.781,0,0.0929
9868,AKT1,0,8.961,61.66,0,0.0899
9869,AKT1,0,8.961,61.659,0,0.0899
10430,AKT1,0,9.14,59.363,0,0.0934
10434,AKT1,0,9.073,57.382,0,0.0793
10882,AKT1,0,9.123,58.185,0,0.0865
10428,AKT1,0,9.14,59.363,0,0.0934
10439,AKT1,0,9.14,59.363,0,0.0934
10436,AKT1,0,9.073,57.382,0,0.0793
10429,AKT1,0,9.14,59.363,0,0.0934
10435,AKT1,0,9.14,59.363,0,0.0934
10914,AKT1,1,17.49,48.663,1,0.9946
11747,AKT1,1,17.555,49.093,1,0.9951
11748,AKT1,1,17.555,49.093,1,0.9951
15382,AKT1,1,18.008,37.92,1,0.994
15385,AKT1,1,18.008,37.92,1,0.994
2545,AKT1,1,22.718,30.233,1,0.9999
1241,CSF1R,0,10.9,57.532,0,0.3005
1242,CSF1R,0,10.9,57.532,0,0.3005
2308,CSF1R,1,12.47,57.732,1,0.6765
2309,CSF1R,1,12.443,54.941,1,0.6338
2310,CSF1R,1,12.573,54.039,1,0.6517
2311,CSF1R,1,12.443,54.941,1,0.6338
2302,CSF1R,1,12.573,54.039,1,0.6517
2303,CSF1R,1,12.729,55.619,1,0.7056
2312,CSF1R,1,10.994,55.755,0,0.2986
2304,CSF1R,1,12.522,58.338,1,0.6953
2313,CSF1R,1,11.694,59.35,1,0.5138
2305,CSF1R,1,10.992,55.755,0,0.2982
2306,CSF1R,1,10.963,56.123,0,0.2966
2314,CSF1R,1,11.693,59.35,1,0.5136
2307,CSF1R,1,12.338,58.023,1,0.6508
2315,CSF1R,1,10.992,54.898,0,0.2878
6761,CSF1R,1,11.195,54.76,0,0.3294
11519,CSF1R,1,11.855,58.298,1,0.5388
11518,CSF1R,1,11.855,58.706,1,0.5447
11634,CSF1R,1,12.346,57.526,1,0.6461
11905,CSF1R,1,11.02,54.957,0,0.2943
13337,CSF1R,1,12.26,58.472,1,0.6389
13989,CSF1R,1,12.081,56.27,1,0.5655
13990,CSF1R,1,12.081,56.27,1,0.5655
14350,CSF1R,1,12.868,55.594,1,0.7334
14766,CSF1R,1,11.056,56.126,0,0.3164
14767,CSF1R,1,11.056,56.126,0,0.3164
15255,CSF1R,1,12.511,55.846,1,0.6614
1243,CSF1R,1,12.683,55.572,1,0.6954
3262,DDR1,1,12.158,58.685,1,0.6151
3250,DDR1,1,14.83,37.217,1,0.8651
3257,DDR1,1,12.407,56.072,1,0.6374
3251,DDR1,1,12.124,58.615,1,0.6064
3263,DDR1,1,12.573,56.272,1,0.676
3252,DDR1,1,12.407,56.072,1,0.6374
3258,DDR1,1,12.15,59.307,1,0.6214
3253,DDR1,1,12.158,58.732,1,0.6157
3259,DDR1,1,12.417,56.824,1,0.6492
